epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8258,1.94925,2.90423,1.4165,0.02696,0.89423,0.43836,0.17248,1.72914,2.95079,1.25544,0.0004,0.0004,0.0004
2,79.6119,1.87649,1.89206,1.34597,0.91322,0.15179,0.42817,0.20316,1.78192,2.68916,1.32398,0.000803764,0.000803764,0.000803764
3,119.466,1.78829,1.5248,1.36327,0.25099,0.29087,0.15779,0.06859,1.92701,2.55449,1.45649,0.0011909,0.0011909,0.0011909
4,157.498,1.7357,1.45392,1.35533,0.7145,0.57692,0.65144,0.29866,1.82707,1.84457,1.48741,0.0015614,0.0015614,0.0015614
5,194.724,1.73036,1.39317,1.33452,0.76338,0.64423,0.71888,0.35089,1.76063,1.5602,1.44787,0.0018416,0.0018416,0.0018416
6,231.178,1.77867,1.35506,1.36112,0.82849,0.63864,0.77258,0.37473,1.78939,1.42402,1.48998,0.001802,0.001802,0.001802
7,266.719,1.7282,1.3181,1.33559,0.76127,0.64904,0.73692,0.36407,1.7547,1.41674,1.4388,0.0017624,0.0017624,0.0017624
8,303.879,1.68138,1.23366,1.31229,0.82459,0.69952,0.80255,0.40788,1.71553,1.35684,1.41994,0.0017228,0.0017228,0.0017228
9,340.804,1.66618,1.22163,1.31261,0.79579,0.76442,0.81768,0.41614,1.66151,1.34047,1.40729,0.0016832,0.0016832,0.0016832
10,377.421,1.65018,1.16995,1.31621,0.83572,0.75481,0.83766,0.42247,1.66893,1.34746,1.41259,0.0016436,0.0016436,0.0016436
11,413.897,1.69804,1.18781,1.28744,0.68255,0.6226,0.6767,0.3219,1.79517,1.4726,1.45114,0.001604,0.001604,0.001604
12,452.881,1.67587,1.15011,1.29566,0.79694,0.72642,0.79019,0.38579,1.70162,1.39717,1.4093,0.0015644,0.0015644,0.0015644
13,489.325,1.65135,1.12753,1.28527,0.88542,0.7616,0.83816,0.42465,1.70664,1.23411,1.39464,0.0015248,0.0015248,0.0015248
14,525.25,1.60908,1.11762,1.30514,0.84021,0.83422,0.87963,0.45776,1.63249,1.11001,1.33566,0.0014852,0.0014852,0.0014852
15,560.96,1.66024,1.11026,1.30106,0.87231,0.78846,0.86258,0.43748,1.72106,1.12504,1.37676,0.0014456,0.0014456,0.0014456
16,596.72,1.61089,1.09729,1.2412,0.84695,0.80288,0.85594,0.44963,1.63064,1.12317,1.30991,0.001406,0.001406,0.001406
17,632.681,1.5974,1.02583,1.22954,0.87032,0.76683,0.82941,0.42636,1.65992,1.13522,1.35699,0.0013664,0.0013664,0.0013664
18,668.258,1.56475,1.01255,1.21983,0.80777,0.76767,0.81575,0.42708,1.67091,1.16635,1.37565,0.0013268,0.0013268,0.0013268
19,704.578,1.51654,0.98927,1.22237,0.84231,0.80895,0.87032,0.47357,1.59756,1.05176,1.31154,0.0012872,0.0012872,0.0012872
20,741.598,1.55816,1.02328,1.24083,0.87467,0.78851,0.86006,0.45677,1.64987,1.06738,1.33815,0.0012476,0.0012476,0.0012476
21,778.105,1.5275,0.97866,1.23819,0.90774,0.84375,0.89838,0.49001,1.5887,0.97113,1.28061,0.001208,0.001208,0.001208
22,813.848,1.51476,0.96161,1.20372,0.87924,0.88462,0.89125,0.48654,1.6053,0.9482,1.29477,0.0011684,0.0011684,0.0011684
23,849.342,1.49439,0.93966,1.1937,0.87156,0.8319,0.8928,0.4894,1.59859,0.93623,1.29876,0.0011288,0.0011288,0.0011288
24,884.672,1.49549,0.93473,1.20823,0.85263,0.84375,0.89062,0.47818,1.60686,0.97503,1.32688,0.0010892,0.0010892,0.0010892
25,920.039,1.51282,0.94046,1.20656,0.91901,0.82452,0.90519,0.48868,1.57659,0.92662,1.29725,0.0010496,0.0010496,0.0010496
26,956.885,1.53374,0.92391,1.23227,0.88182,0.83413,0.90015,0.46505,1.66356,0.94151,1.36709,0.00101,0.00101,0.00101
27,1000.09,1.48156,0.90667,1.2,0.89823,0.86988,0.91718,0.50483,1.58286,0.91771,1.28453,0.0009704,0.0009704,0.0009704
28,1037.45,1.50012,0.88882,1.21092,0.86166,0.86298,0.8948,0.48154,1.62395,0.92289,1.35392,0.0009308,0.0009308,0.0009308
29,1072.41,1.51577,0.89656,1.20965,0.90688,0.83654,0.90938,0.49508,1.58905,0.90265,1.3103,0.0008912,0.0008912,0.0008912
30,1109.53,1.48398,0.90801,1.19555,0.92262,0.80254,0.89114,0.49141,1.57215,0.93436,1.29726,0.0008516,0.0008516,0.0008516
31,1147.55,1.47485,0.90253,1.18687,0.87967,0.84856,0.89751,0.48743,1.5663,0.92286,1.29539,0.000812,0.000812,0.000812
32,1182.83,1.47436,0.8897,1.20335,0.90293,0.82732,0.90152,0.50256,1.55449,0.87941,1.27881,0.0007724,0.0007724,0.0007724
33,1218.67,1.44845,0.88324,1.20287,0.89961,0.86164,0.91058,0.49476,1.59637,0.8711,1.31931,0.0007328,0.0007328,0.0007328
34,1253.42,1.42584,0.8769,1.18311,0.93058,0.83784,0.90587,0.49839,1.58199,0.85819,1.28653,0.0006932,0.0006932,0.0006932
35,1288.07,1.47118,0.91689,1.20986,0.88339,0.87981,0.9122,0.5034,1.58015,0.86589,1.28741,0.0006536,0.0006536,0.0006536
